GTVID,Latitude,Longitude,nearest_interstate,distance_to_interstate_mi
ATG921,33.7455271,-84.69456629999999,I- 20,0.7061638228610932
ATG922,33.5779006,-85.0791663,I- 20,7.8654752165874235
KCG088,39.5614626,-95.1430032,I- 29,18.760642116469675
HOG4A9,29.0208235,-95.4041609,I- 45,34.34538993548852
CAG385,35.7418648,-81.5559737,I- 40,1.0051975609858945
MNG437,45.2315872,-94.9391199,I- 94,30.692353360256853
DFG464,31.9226144,-97.6579393,I- 35,31.635106689420667
RAG529,36.2578716,-78.8292834,I- 85,9.055301270575436
HOG4AA,29.6992524,-95.6639953,I- 10,5.894756313242164
CNG184,38.8731649,-84.98407,I- 71,12.154866624734534
CWG057,37.647086,-82.859616,I- 64,48.05849579794504
ASG069,42.677088,-73.824396,I- 87,0.8332183146500853
LSG123,37.943938,-86.079161,I- 65,19.818159183159626
LVG117,35.130925,-114.625907,I- 40,17.1092926972375
TPG579,28.0264132,-82.57094830000001,I- 275,5.90909938451878
DSG083,47.3857338,-93.5858109,I- 35,71.82267788864765
HOG4AB,29.695307,-95.32001,I- 610,0.040815964580343554
MYG169,34.1971507,-79.70419869999999,I- 95,4.786511453077868
WOG144,30.8821284,-96.5961292,I- 45,40.15244594903698
ATG923,33.7442459,-84.3795253,I- 20,0.05670932245247148
GVG126,34.2108457,-82.0383433,I- 26,22.16188168562571
CAG386,35.435345,-80.65337099999999,I- 85,0.10312940490580703
CMG132,33.862544,-81.204121,I- 20,6.439665506411179
CNG185,39.2477741,-84.8984368,I- 74,1.8906396138777901
NOG179,30.3557423,-89.7431599,I- 59,0.11078160847491722
MMG253,35.3204037,-89.1330637,I- 40,13.463191728436325
GVG127,35.3832058,-82.3591325,I- 26,5.39484336662316
RLG152,37.072023,-79.89799,I- 581,11.682980323125914
TAG119,30.433611,-83.453396,I- 10,0.21298536026748832
TPG581,28.841447,-82.3606982,I- 75,15.928805995649954
FMG124,26.46272,-81.951987,I- 75,9.956742706601514
NPG143,36.703765,-77.553467,I- 95,0.2278442865517364
RPG137,37.539493,-77.559345,I- 195,3.895721145075376
BLG251,39.119449,-76.851841,I- 95,0.8005970745254657
LSG124,38.592552,-85.317439,I- 71,6.54718224462225
PAG057,44.109465,-71.185122,I- 93,24.58620394659541
GVE055,34.985598,-82.172213,I- 85,6.154528412878352
MNE040,45.05744,-92.950224,I- 694,1.9098807423340873
LSW071,38.287524,-85.928039,I- 64,0.2834967332308031
MNE033,45.028754,-93.036209,I- 694,0.5895870503087897
MPG213,30.435024,-87.21007,I- 110,0.31087745838488406
