gtvid,c_nfc_enabled
CAG557,Unknown
CAG558,Unknown
CAG560,Unknown
CAG561,Unknown
CAG562,Unknown
CAG563,Unknown
CAG564,Unknown
CAG567,Unknown
CAG574,Unknown
CAG575,Unknown
CAG579,Unknown
CAG580,Unknown
CAG581,Unknown
CAG582,Unknown
CAG583,Unknown
CAG584,Unknown
CAG585,Unknown
CAG586,Unknown
CAG587,Unknown
CAG588,Unknown
CAG589,Unknown
CAG591,Unknown
CAG592,Unknown
CAG593,Unknown
CAG595,Unknown
CAG598,Unknown
CAG602,Unknown
CAG604,Unknown
CAG606,Unknown
CAG608,Unknown
CAG610,Unknown
CAG627,Unknown
CAW026,Unknown
CAW027,Unknown
CAW029,Unknown
CAW077,Unknown
CAW179,Unknown
CAW181,Unknown
CAW207,Unknown
CAW209,Unknown
CAW211,Unknown
CAW212,Unknown
CAW216,Unknown
CAW225,Unknown
CAW227,Unknown
CAW228,Unknown
CBE002,Unknown
CBE053,Unknown
CBG063,Unknown
CBG066,Unknown
CBG099,Unknown
CBG108,Unknown
CBG124,Unknown
CBG127,Unknown
CBG135,Unknown
CBG136,Unknown
CBG138,Unknown
CBW056,Unknown
CBW105,Unknown
CBW125,Unknown
CCE003,Unknown
CCG072,Unknown
CCG074,Unknown
CCG076,Unknown
CCG077,Unknown
CCG078,Unknown
CCG079,Unknown
CCG080,Unknown
CCG081,Unknown
CCG082,Unknown
CCG083,Unknown
CCG084,Unknown
CCG086,Unknown
CCG088,Unknown
CCG096,Unknown
CCW001,Unknown
CCW008,Unknown
CCW012,Unknown
CCW014,Unknown
CDE001,Unknown
CDE005,Unknown
CDE019,Unknown
CDG002,Unknown
CDG005,Unknown
CDG006,Unknown
CDG007,Unknown
CDG026,Unknown
CDG033,Unknown
CDG038,Unknown
CDG052,Unknown
CDG066,Unknown
CDG083,Unknown
CDG086,Unknown
CDG092,Unknown
CDG100,Unknown
CDG103,Unknown
CDG106,Unknown
CDG108,Unknown
CDG109,Unknown
CDG111,Unknown
CDG112,Unknown
CDG113,Unknown
CDG115,Unknown
CDG116,Unknown
CDW047,Unknown
CDW049,Unknown
CEW024,Unknown
CEW025,Unknown
CHE005,Unknown
CHE021,Unknown
CHE064,Unknown
CHE072,Unknown
CHE133,Unknown
CHE194,Unknown
CHE196,Unknown
CHE198,Unknown
CHE236,Unknown
CHE239,Unknown
CHE261,Unknown
CHE386,Unknown
CHE438,Unknown
CHE490,Unknown
CHE491,Unknown
CHE497,Unknown
CHE692,Unknown
CHG019,Unknown
CHG023,Unknown
CHG031,Unknown
CHG038,Unknown
CHG054,Unknown
CHG129,Unknown
CHG162,Unknown
CHG166,Unknown
CHG210,Unknown
CHG215,Unknown
CHG245,Unknown
CHG257,Unknown
CHG276,Unknown
CHG279,Unknown
CHG308,Unknown
CHG344,Unknown
CHG356,Unknown
CHG357,Unknown
CHG366,Unknown
CHG382,Unknown
CHG386,Unknown
CHG387,Unknown
CHG392,Unknown
CHG404,Unknown
CHG408,Unknown
CHG415,Unknown
CHG417,Unknown
CHG422,Unknown
CHG423,Unknown
CHG424,Unknown
CHG425,Unknown
CHG428,Unknown
CHG433,Unknown
CHG435,Unknown
CHG436,Unknown
CHG439,Unknown
CHG441,Unknown
CHG444,Unknown
CHG446,Unknown
CHG447,Unknown
CHG448,Unknown
CHG449,Unknown
CHG451,Unknown
CHG453,Unknown
CHG455,Unknown
CHG463,Unknown
CHW041,Unknown
CHW089,Unknown
CHW108,Unknown
CHW3EC,Unknown
CHW3F8,Unknown
CHW3FA,Unknown
CHW42A,Unknown
CHW42D,Unknown
CHW456,Unknown
CHW457,Unknown
CHW491,Unknown
CHW497,Unknown
CHW4A1,Unknown
CHW4C8,Unknown
CHW4CF,Unknown
CHW4E2,Unknown
CHW4E5,Unknown
CHW4E7,Unknown
CHW619,Unknown
CHW655,Unknown
CHW661,Unknown
CHW674,Unknown
CHW774,Unknown
CHW842,Unknown
CHW854,Unknown
CHW883,Unknown
CHW891,Unknown
CHW893,Unknown
CHW917,Unknown
CHW920,Unknown
CHW966,Unknown
CHW983,Unknown
CIE003,Unknown
CIE007,Unknown
CIG001,Unknown
CIG002,Unknown
CIG004,Unknown
CIG005,Unknown
CIG007,Unknown
CIG008,Unknown
CIG009,Unknown
CIG010,Unknown
CIG011,Unknown
CIG012,Unknown
CIG013,Unknown
CIG014,Unknown
CIG015,Unknown
CIG016,Unknown
CIG017,Unknown
CIG019,Unknown
CIG020,Unknown
CIG021,Unknown
CIG022,Unknown
CIG023,Unknown
CIG024,Unknown
CIG025,Unknown
CIG026,Unknown
CIG027,Unknown
CIG028,Unknown
CIG029,Unknown
CIG030,Unknown
CIG031,Unknown
CIG032,Unknown
CIG033,Unknown
CIG034,Unknown
CIG035,Unknown
CIG036,Unknown
CIG037,Unknown
CIG038,Unknown
CIG039,Unknown
CIG040,Unknown
CIG041,Unknown
CIG042,Unknown
CIG043,Unknown
CIG044,Unknown
CIG047,Unknown
CIG048,Unknown
CIG052,Unknown
CIG055,Unknown
CIG057,Unknown
CIG058,Unknown
CIG059,Unknown
CIG061,Unknown
CIG062,Unknown
CIG068,Unknown
CIG069,Unknown
CIG070,Unknown
CIG071,Unknown
CIG072,Unknown
CIG076,Unknown
CIG078,Unknown
CIG080,Unknown
CIG081,Unknown
CIG087,Unknown
CIG088,Unknown
CIG091,Unknown
CIG092,Unknown
CIG093,Unknown
CIG094,Unknown
CIG095,Unknown
