gtvid,status,predicted_probability,actual_label,residual,model_roc_auc
SVG076,Temporarily Deactivated,0.003097148691982452,0,0.003097148691982452,0.8699592181637268
ALG038,Temporarily Deactivated,0.00724993252902671,0,0.00724993252902671,0.8699592181637268
MCG074,Temporarily Deactivated,0.01025815215351652,0,0.01025815215351652,0.8699592181637268
TAG043,Temporarily Deactivated,0.015500429255740352,0,0.015500429255740352,0.8699592181637268
TAG045,Temporarily Deactivated,0.02075599818645321,0,0.02075599818645321,0.8699592181637268
ALG040,Temporarily Deactivated,0.006171940824697981,0,0.006171940824697981,0.8699592181637268
TAG046,Temporarily Deactivated,0.027576801751973645,1,0.9724231982480264,0.8699592181637268
MCG075,Awaiting Reactivation,0.0095669161220321,0,0.0095669161220321,0.8699592181637268
ATG522,Awaiting Installation,0.0054870182102666615,0,0.0054870182102666615,0.8699592181637268
ATG523,Temporarily Deactivated,0.008209804319021703,0,0.008209804319021703,0.8699592181637268
MCG076,Temporarily Deactivated,0.0009726508691007975,0,0.0009726508691007975,0.8699592181637268
ATG525,Temporarily Deactivated,0.017810737426910833,0,0.017810737426910833,0.8699592181637268
ATG526,Temporarily Deactivated,0.02640238457960924,1,0.9735976154203908,0.8699592181637268
MCG078,Temporarily Deactivated,0.009612877096081624,0,0.009612877096081624,0.8699592181637268
ALG043,Temporarily Deactivated,0.002169139214092676,0,0.002169139214092676,0.8699592181637268
SLW080,Temporarily Deactivated,0.03843702387787297,0,0.03843702387787297,0.8699592181637268
GVW108,Temporarily Deactivated,0.015851887386496313,0,0.015851887386496313,0.8699592181637268
RLW056,Temporarily Deactivated,0.012421036653611238,0,0.012421036653611238,0.8699592181637268
ATW313,Temporarily Deactivated,0.019143174006855813,0,0.019143174006855813,0.8699592181637268
NAW046,Temporarily Deactivated,0.010145167100887,0,0.010145167100887,0.8699592181637268
TAG047,Temporarily Deactivated,0.014144182066164692,0,0.014144182066164692,0.8699592181637268
ALG044,Temporarily Deactivated,0.0008122948161250377,0,0.0008122948161250377,0.8699592181637268
MAW257,Temporarily Deactivated,0.02365872194485036,0,0.02365872194485036,0.8699592181637268
MAW258,Temporarily Deactivated,0.029463969950608872,0,0.029463969950608872,0.8699592181637268
MAW259,Temporarily Deactivated,0.054741930187510265,0,0.054741930187510265,0.8699592181637268
RAW070,Temporarily Deactivated,0.021794763664051496,0,0.021794763664051496,0.8699592181637268
BHW004,Temporarily Deactivated,0.001943427014563543,0,0.001943427014563543,0.8699592181637268
ELW005,Temporarily Deactivated,0.0014442618211571332,0,0.0014442618211571332,0.8699592181637268
SYW007,Temporarily Deactivated,0.03693589700160626,0,0.03693589700160626,0.8699592181637268
ELW006,Temporarily Deactivated,0.03425239496591313,0,0.03425239496591313,0.8699592181637268
ELW007,Temporarily Deactivated,0.027791276735787823,0,0.027791276735787823,0.8699592181637268
LRW049,Temporarily Deactivated,0.005780948638832994,0,0.005780948638832994,0.8699592181637268
CHE495,Temporarily Deactivated,0.06089205993796053,0,0.06089205993796053,0.8699592181637268
ELW008,Temporarily Deactivated,0.026401059719507274,0,0.026401059719507274,0.8699592181637268
ELW009,Temporarily Deactivated,0.018212189205395912,0,0.018212189205395912,0.8699592181637268
ELW010,Temporarily Deactivated,0.041809198031729694,0,0.041809198031729694,0.8699592181637268
BHW005,Temporarily Deactivated,0.009330688042889224,0,0.009330688042889224,0.8699592181637268
WBW021,Temporarily Deactivated,0.006765774530433671,0,0.006765774530433671,0.8699592181637268
WBW022,Temporarily Deactivated,0.025369695778187228,0,0.025369695778187228,0.8699592181637268
WBW023,Temporarily Deactivated,0.016449478366335254,0,0.016449478366335254,0.8699592181637268
WBW026,Temporarily Deactivated,0.01225595751355609,0,0.01225595751355609,0.8699592181637268
ELW011,Temporarily Deactivated,0.013745249746014914,0,0.013745249746014914,0.8699592181637268
ALW016,Temporarily Deactivated,0.004598623097252302,0,0.004598623097252302,0.8699592181637268
NOW029,Temporarily Deactivated,0.043124872744915756,0,0.043124872744915756,0.8699592181637268
CBW048,Temporarily Deactivated,0.018389049622213268,0,0.018389049622213268,0.8699592181637268
ELW012,Temporarily Deactivated,0.014367116536797203,0,0.014367116536797203,0.8699592181637268
SGW019,Temporarily Deactivated,0.006206795418515024,0,0.006206795418515024,0.8699592181637268
TLE020,Temporarily Deactivated,0.0028230761027331734,0,0.0028230761027331734,0.8699592181637268
TAG175,Awaiting Reactivation,0.019320283199348844,0,0.019320283199348844,0.8699592181637268
ATW314,Temporarily Deactivated,0.017113629661653543,0,0.017113629661653543,0.8699592181637268
