gtvid,avg_monthly_revenue,revenue_percentile
GVE108,72.30266666666667,21.1839647492696
BOG082,296.0117777777778,68.9783993486278
LHG106,86.67,25.7818861056564
SVE022,0.0,0.4262656257483596
MNG265,92.19191489361705,27.740792183533692
CWG078,75.77933333333331,22.228076057282436
MNS039,331.9674468085106,72.82915848460175
ATG900,918.3637142857144,96.3743474304325
JVG426,57.47764705882352,16.15498826572154
AQS018,311.97574468085105,70.80798888835672
BOS087,349.3189130434781,74.51506298194357
SAG344,163.29888888888888,47.315484458067914
DTE044,192.1562857142857,53.31194022702236
BIG372,96.532972972973,29.20159011446908
BBG033,0.04,0.9363475262225202
WBG035,229.18617021276592,59.67718760477034
KNG071,31.457749999999997,7.897887829876909
NOG026,298.4448275862069,69.22745342209876
ATG997,529.4300000000001,86.61334355093635
SVG132,16.220652173913045,4.2387087504190815
SEG026,222.07142857142853,58.52770726567364
PTG047,17.426153846153845,4.425499305522295
HOG7AF,62.03249999999999,17.615786196656927
ORG724,147.66234042553197,43.526988840461705
STG022,208.7006818181818,56.449063652473775
BIE118,176.99270270270273,50.2514488241774
FSS007,344.34765957446814,74.02174433641457
BIE070,118.082,35.77757555438479
WOG058,186.12093023255818,51.99482733847406
TYG054,147.02936170212763,43.3545667895972
CAG396,100.44837209302325,30.418123473346423
BOG092,462.8858695652175,83.06432300397528
DFE042,731.4144736842104,93.38090904736816
FSG055,67.17076923076924,19.325638201063267
DFG289,668.5460714285715,91.86742660089084
CHG451,885.3810000000001,95.99597681881316
HOG4C3,54.14446808510639,14.890559892715167
OAG079,99.41666666666667,30.125963887159344
GBG312,36.80500000000001,9.248527228315531
MNG483,120.23024390243899,36.318789214042816
SFG264,167.35942857142854,48.287753244887206
CCG022,445.7475,82.02979069878825
MRG026,121.95702127659571,36.83126586522343
MPG249,162.57500000000002,47.11432539872599
HOG312,197.7806382978724,54.43747305905455
SYG066,433.90380952380957,81.21557545859476
HOG859,638.758085106383,90.9622108338522
ATG939,157.52302325581394,45.93131854973897
BIG416,22.968620689655175,5.733033191244791
ATG55C,309.789512195122,70.57809282053738
LVG132,237.46444444444444,61.066143014512186
BLG273,186.74,52.12414387662244
DTG212,190.51000000000005,52.89525360409981
MMG082,177.36923076923074,50.33765984960965
SYS017,525.4095744680852,86.41218449159442
ATG57D,120.98075000000001,36.51036927055893
AGG046,97.88659574468085,29.666171751520665
ATG843,228.51319148936173,59.56702907227357
RAE066,419.0009090909091,80.20020115905933
SKG146,188.64652173913046,52.521672493893384
MDG239,20.279999999999998,4.990660472244839
GRG202,852.2,95.55055318741319
NPG004,99.67297872340426,30.207385411178695
JAG242,228.93282051282054,59.62929259064131
GHS037,283.4629787234043,67.35475836965371
GBG223,157.94893617021276,46.05105608506154
CAG399,111.8386666666667,34.02461803726232
GAG074,128.75936170212765,38.66085540495234
SIG073,214.9333333333333,57.4835959576608
KCG110,38.86615384615385,9.914267924709037
MWE022,127.73564102564102,38.39264332582978
CTG066,127.9789130434783,38.445327841371714
CNS071,643.1917021276596,91.11547487906509
AUG283,327.8212765957447,72.39810335744049
DYG068,359.9393617021277,75.57833229560802
CNE026,108.23022727272732,32.91824321088175
DCG219,364.7376595744681,75.98543991570477
ORG324,59.50531914893618,16.69620192537957
RAG503,139.066,41.280712677810236
SLG139,829.410425531915,95.21049858709708
WHG061,80.015,23.526030940179126
BIG123,0.0,0.4262656257483596
BOG330,165.80148936170212,47.923751137506585
SRG088,114.9752272727273,34.94420230853968
WOG013,173.62500000000003,49.54739211648067
CLE031,338.2534042553191,73.47095167393074
MNG230,494.41340425531905,84.80291201685904
MNG478,186.58348837209303,52.09540686814503
DTE340,619.7053191489362,90.36831265865223
CWS014,483.27586956521736,84.18027683318167
BRG103,659.6614999999999,91.58484601752957
MMG226,81.9085106382979,24.134297619617797
HOG5F2,3.335,1.9253795679869725
NOG071,383.7193617021276,77.69529192011112
ING134,105.27358974358974,31.97471143253987
SLG311,20.43,5.028976483548062
DVG316,81.495,23.976244072992
ATE100,67.82685714285714,19.58906077877293
SCE021,127.6340909090909,38.35432731452656
MNG426,92.00829787234044,27.659370659514344
WOG051,46.63404255319149,12.400019158005652
CWG069,164.0359574468085,47.49269601034532
KNG015,344.4095744680851,74.03132333924039
CBS084,952.3853191489364,96.76229704487763
ORG650,120.54133333333333,36.39063173523636
FSS002,1179.910217391304,98.42904353656783
ATE015,55.20777777777777,15.268930504334499
CHE486,218.15586956521736,57.93859859188658
LAG487,2999.178723404256,99.98563149576128
DVG294,362.07,75.77949135494994
NAG180,33.96791666666667,8.534891517792998
DVG210,245.30555555555554,62.249149863499206
SSE008,140.99914893617026,41.80276833181666
HTG091,5.696363636363636,2.366013697974041
GVG058,152.01340425531913,44.57588964988744
DYS001,1097.1487234042554,97.89740887973561
NAG440,43.565000000000005,11.298433833037981
DTG153,254.33744680851066,63.51357823650557
CIG176,65.085,18.597633986302025
GRG050,898.3682978723406,96.13487235978734
NYG666,519.836923076923,86.06734038986541
FWE002,178.30148936170212,50.48134489199674
WSE009,401.52617021276603,78.88787777192394
PLG382,286.98783783783784,67.83849801235691
PLG269,183.38914285714284,51.38656065903539
RAE030,191.19454545454545,53.07725465779012
INS186,752.7048936170212,93.79280616887782
LAG360,0.0,0.4262656257483596
EUE003,38.15434782608696,9.65563484841228
GGG027,77.61571428571428,22.75971071411466
ATG575,48.74702127659574,13.17112888548302
INE022,63.62592592592593,18.166578859140763
LVE011,498.79571428571444,85.04717658891708
RMG051,66.37595744680853,19.03347861487619
BEG143,162.475,47.076009387422765
HFG069,201.71175,55.22774079218353
DTE149,409.21382978723403,79.52967096125293
PTE030,159.5545454545455,46.41026869102926
MPG306,178.0611111111111,50.42866037645481
LAG225,1006.3417021276596,97.23645768475501
CHE370,282.3289361702127,67.19191532161501
HOG659,442.8390322580646,81.79989463096891
DFG201,705.6704255319149,92.83969538771014
MNG645,124.47,37.62153359835241
OKG093,78.818,23.13808132573399
SMG044,142.55953488372094,42.19550744767469
MNS163,281.2495744680851,67.07217778629244
MYG079,130.0472727272727,39.03443651515877
DTE284,531.0111904761904,86.7091335791944
TLS045,675.1206382978726,92.07816466305857
RAS063,240.43936170212766,61.530724651563766
LEG005,137.26872340425533,40.816131040758656
TPG097,38.24851063829787,9.693950859715503
ATE207,212.61970588235295,57.167488864409215
TPG549,50.13435897435898,13.587815508405575
GBE003,57.05266666666667,15.987355716269935
INS184,401.70191489361696,78.90224627616264
CAG314,33.85057142857143,8.501365007902677
DMG088,50.54333333333333,13.731500550792662
CHE317,536.2261702127661,86.95339815125244
PDG044,100.23441860465117,30.341491450739976
PLE007,1286.4359574468085,98.90320417644523
SVS001,462.50595744680857,83.03558599549787
LXG208,104.36702127659572,31.687341347765695
EPG039,320.83739130434776,71.63178313137603
RAE112,184.04533333333336,51.50150869294506
GBG243,43.95212765957446,11.432539872599262
POG008,100.69142857142856,30.49475549595287
CAS026,323.2778723404256,71.87604770343407
DTG215,305.11714285714294,70.06082666794386
SYS036,828.433829787234,95.19134058144547
RAG559,276.98382978723396,66.56449063652474
TSG081,337.44285714285706,73.36558264284687
TUG089,96.7,29.26385363283682
GHG374,18.42514285714286,4.664974376167441
YPG042,219.72574468085105,58.18765266535753
CHE259,276.5785714285714,66.502227118157
DTE178,414.49787234042566,79.88409406580774
FRG256,155.48368421052632,45.46194741127449
WMG077,151.87085106382975,44.53278413717132
LAG473,726.0672340425531,93.28511901911011
ATG780,613.5608510638299,90.13841659083289
DFG559,434.17404255319167,81.24431246707218
PLG242,57.46407407407407,16.150198764308634
TPG083,361.7214285714286,75.74117534364672
DFG567,101.53638297872338,30.72465156377221
RAG033,702.358888888889,92.73911585803917
SFG211,603.1795744680852,89.78399348627808
DCG242,54.84978723404255,15.144403467599021
MCG014,74.21565217391304,21.686862397624406
RAG337,139.5876595744681,41.3860817088941
DCG669,144.42214285714286,42.64093107907467
CBS065,697.0904255319148,92.65769433401982
ROS028,694.8808510638298,92.600220317065
TPG073,308.1835714285715,70.40088126825997
CUE024,117.21119999999999,35.54288998515254
SLE053,135.39723404255324,40.456918434790936
CHG518,364.78,75.99022941711767
WMG085,100.76666666666667,30.50912400019158
BLG179,106.41063829787234,32.32913453709469
SMG057,206.84357142857138,56.06590353944154
SLE012,67.26446808510639,19.387901719431007
CSG244,24.87230769230769,6.211983332535083
CTG006,123.32872340425531,37.20484697542985
LSE062,175.6912765957447,50.00718425211935
BIG296,120.61829787234045,36.40500023947507
DTE257,26.160588235294117,6.456247904593131
WPG068,495.0863829787234,84.82207002251066
PLG114,441.27212765957444,81.68973609847214
FSS043,1713.2421276595749,99.6791034053355
SAG460,76.47542857142855,22.414866612385648
BEG046,132.9739534883721,39.82470424828775
DRE022,11.062857142857142,3.21854494947076
CAG464,76.60170212765956,22.438814119450164
GVG104,124.24421052631581,37.53532257292016
ATG238,235.85600000000005,60.821878442454135
RAG386,289.7391304347826,68.16897360984721
CAG232,142.65,42.2002969490876
LRG144,305.0057446808511,70.03208965946645
FVG095,30.824687500000003,7.715886776186599
TUG053,136.00486486486489,40.54791896163609
LSE053,126.81510638297875,38.16274725801044
WFG015,68.62914893617022,19.88600986637291
MSG075,442.43191489361703,81.7711576224915
DMG077,112.225,34.12519756693328
SFG265,303.782,69.88840461707936
NYS138,590.8091489361701,89.3481488577039
MCE036,166.5217777777778,48.06743617989367
CLS046,1037.3568085106385,97.533406772355
GES016,191.6695744680851,53.2161501987643
DTS124,1422.0859574468086,99.29115379089036
MPG172,484.0844680851065,84.23775085013649
FWE028,154.33809523809526,45.14584031802289
NAG218,144.98659574468087,42.77503711863595
GES053,323.3491489361702,71.88562670625987
KCG089,175.70340425531919,50.01197375353225
OAG082,46.595,12.395229656592749
RPE019,154.72723404255322,45.27036735475837
JAG198,152.5806818181818,44.705206188035824
CWG081,134.51489361702127,40.236601369797405
MWE083,97.9897826086956,29.699698261410987
LNS035,742.3523913043479,93.6060156137746
MPG201,478.04999999999995,83.916854255472
DTG186,392.3117021276596,78.28919009531107
LHG089,84.38,25.029934383830643
NPG087,668.795744680851,91.88179510512956
GRS040,438.1387234042553,81.49336654054312
PBG027,346.74106382978727,74.26121940705973
GHG391,81.93333333333335,24.148666123856504
OKG152,113.98,34.63288471670099
MNG654,0.05,0.9650845346999377
ATG4A3,179.95723404255324,50.739977968293495
DFE033,141.3154761904762,41.88897935724891
CHE354,111.97268292682926,34.067723549978446
BFE034,447.51511111111125,82.13515972987211
JPE021,266.37619047619046,65.18032472819579
CLG256,118.80882352941177,35.93562910101058
LVG133,201.11030303030304,55.11758225968676
HOG669,166.60872340425533,48.07701518271948
DTS120,972.2300000000001,96.98261410987115
DCG766,382.5208571428572,77.58513338761435
LSG162,106.6373170731707,32.396187556875326
IFE029,90.04533333333332,27.01757747018535
RAG442,250.57595744680847,62.962785574021744
BFG008,522.9036170212764,86.25892044638152
DMG129,0.6,1.4440346759902294
SSG055,109.52617021276595,33.39719335217204
OKE024,219.87340425531914,58.23075817807366
DRG005,202.7110638297872,55.41932084869965
SCG204,421.3037500000002,80.40614971981417
CWS034,350.8712765957447,74.7162220412855
PTE003,70.07058823529411,20.417644523205134
SKG162,196.83280000000002,54.22673499688682
SEG133,266.40021276595746,65.1899037310216
SCG158,427.0575675675676,80.76536232578188
YEG027,126.0114893617021,37.947219694429805
LCG004,87.51782608695652,26.07883519325638
HDE026,138.1531914893617,41.07955361846832
FSG073,275.6115555555556,66.3585420757699
OAG006,192.53,53.39815125245462
MDG106,66.02851063829789,18.8802145696633
AGG089,62.704666666666654,17.874419272953684
CHS163,782.8900000000002,94.37233583983907
